SIZE,ROW_N_A,COL_N_A,COL_N_B,time
1,512,512,512,0.777767
2,512,512,512,0.368529
4,512,512,512,0.176570
8,512,512,512,0.092919
16,512,512,512,0.190164
32,512,512,512,0.085315
64,512,512,512,0.048115
128,512,512,512,0.241083
