SIZE,ROW_N_A,COL_N_A,COL_N_B,time
1,1024,1024,1024,6.061790
2,2048,1024,1024,6.110028
4,4096,1024,1024,6.230003
8,8192,1024,1024,6.483142
16,16384,1024,1024,7.043575
32,32768,1024,1024,8.470758
64,65536,1024,1024,16.956467
128,131072,1024,1024,83.512131
256,262144,1024,1024,368.773071
