SIZE,ROW_N_A,COL_N_A,COL_N_B,time
1,1024,1024,1024,6.069036
2,1024,1024,1024,3.065213
4,1024,1024,1024,1.589568
8,1024,1024,1024,0.826509
16,1024,1024,1024,0.423499
32,1024,1024,1024,0.224872
64,1024,1024,1024,0.260742
128,1024,1024,1024,0.222936
256,1024,1024,1024,0.155647
